一级分类,二级分类,三级分类,商品id,好评数
16750,16755,16806,31460085422,5000
16750,16755,16806,10037005928073,2500
16750,16755,16806,10041514090882,400
16750,16755,16806,1031277045,4200
16750,16755,16806,71900395723,1200
16750,16755,16806,28976973022,6000
16750,16755,16806,10047603853751,800
16750,16755,16806,100033504528,1300
16750,16755,16806,10038760809840,200
16750,16755,16806,100029744937,1100
16750,16755,16806,10068504053615,30
16750,16755,16806,55248044109,3600
16750,16755,16806,72053146037,1000
16750,16755,16806,100042482989,200
16750,16755,16806,100049175160,20
16750,16755,16806,10021528776197,900
16750,16755,16806,10076493189863,0
16750,16755,16806,10064055937222,80
16750,16755,16806,10053167051144,1300
16750,16755,16806,100045096491,500
16750,16755,16806,10043842822768,300
16750,16755,16806,65731989883,4900
16750,16755,16806,55242863971,16000
16750,16755,16806,1505765520,11000
16750,16755,16806,21215132369,5000
16750,16755,16806,100012649165,5000
16750,16755,16806,10073434754335,4
16750,16755,16806,65426675430,900
16750,16755,16806,58895636417,70
16750,16755,16806,100054587553,100
16750,16755,16806,100008399826,1000
16750,16755,16806,100033815264,1100
16750,16755,16806,10021513321029,100
16750,16755,16806,100027242531,800
16750,16755,16806,10062757572432,5000
16750,16755,16806,10020661178715,10
16750,16755,16806,10049391339225,80
16750,16755,16806,100048541010,100
16750,16755,16806,100042817879,100000
16750,16755,16806,10053443348626,300
16750,16755,16806,10048220318318,2100
16750,16755,16806,1007583222,2500
16750,16755,16806,10033459559678,600
16750,16755,16806,100034208659,100
16750,16755,16806,68504419335,900
16750,16755,16806,10045770004769,80
16750,16755,16806,68021663687,300
16750,16755,16806,10020876282987,7000
16750,16755,16806,10051819101688,500
16750,16755,16806,100017138576,2000
16750,16755,16806,10020880419677,1800
16750,16755,16806,65123737778,600
16750,16755,16806,10049625800132,100
16750,16755,16806,10070963074997,2
16750,16755,16806,100038693899,200
16750,16755,16806,100029744943,600
16750,16755,16806,1974431391,3600
16750,16755,16806,10050945941292,200
16750,16755,16806,10056716672062,600
16750,16755,16806,10045021527753,90
16750,16755,16806,100051222113,50
16750,16755,16806,100045466729,300
16750,16755,16806,100014938641,2400
16750,16755,16806,10071505540223,1
16750,16755,16806,10074852020995,10
16750,16755,16806,10026910157503,300
16750,16755,16806,100020375625,100
16750,16755,16806,10364754567,5000
16750,16755,16806,100025121886,1900
16750,16755,16806,10062954658645,70
16750,16755,16806,10057612741076,40
16750,16755,16806,70366396112,1300
16750,16755,16806,100048540982,2200
16750,16755,16806,10056249207130,100
16750,16755,16806,10060063083464,30
16750,16755,16806,10043516466264,1100
16750,16755,16806,10022334873368,1300
16750,16755,16806,10025766552831,2300
16750,16755,16806,10032829015024,200
16750,16755,16806,100032709718,200
16750,16755,16806,14269410084,400
16750,16755,16806,100023455495,500
16750,16755,16806,63174757604,1100
16750,16755,16806,100011596121,1900
16750,16755,16806,10042324802162,800
16750,16755,16806,1017160313,4400
16750,16755,16806,100049913937,10000
16750,16755,16806,10033538228074,2900
16750,16755,16806,10026259752151,300
16750,16755,16806,10030060401228,600
16750,16755,16806,100000700625,210000
16750,16755,16806,10028117854506,200
16750,16755,16806,10058977750422,500
16750,16755,16806,10027256376580,1500
16750,16755,16806,69207257122,500
16750,16755,16806,46648897160,2000
16750,16755,16806,100051583686,80
16750,16755,16806,39996893861,1100
16750,16755,16806,10041428147946,100
16750,16755,16806,10028254770479,400
16750,16755,16806,100048847073,300
16750,16755,16806,10063494116679,500
16750,16755,16806,10035384561653,2000
16750,16755,16806,100029744919,500
16750,16755,16806,69714474785,90
16750,16755,16806,70103906167,700
16750,16755,16806,49203798973,3600
16750,16755,16806,12036070240,700
16750,16755,16806,10364761651,18000
16750,16755,16806,10044523866177,500
16750,16755,16806,10057082917612,200
16750,16755,16806,100024209722,2900
16750,16755,16806,10039962202318,300
16750,16755,16806,10062842829377,800
16750,16755,16806,10066897221057,1200
16750,16755,16806,10069799725001,100
16750,16755,16806,10035927670246,7000
16750,16755,16806,10024943384220,100
16750,16755,16806,58751774190,50
16750,16755,16806,1596361129,15000
16750,16755,16806,10068797201819,100
16750,16755,16806,10037472648700,800
16750,16755,16806,10033189470694,10
16750,16755,16806,10020197743931,17000
16750,16755,16806,10076214289331,400
16750,16755,16806,10049008371211,1100
16750,16755,16806,58071669946,3000
16750,16755,16806,10073177946019,100
16750,16755,16806,10046811543222,200
16750,16755,16806,10026117710930,500
16750,16755,16806,10023264455773,300
16750,16755,16806,100008282965,4000
16750,16755,16806,72111752328,200
16750,16755,16806,10061793060746,2
16750,16755,16806,45014221736,900
16750,16755,16806,10059233676503,400
16750,16755,16806,10043011077399,20
16750,16755,16806,27561323643,2500
16750,16755,16806,70652304496,300
16750,16755,16806,10071374777594,0
16750,16755,16806,1019876810,4900
16750,16755,16806,72498053259,1000
16750,16755,16806,62538466719,100
16750,16755,16806,10021823891912,2100
16750,16755,16806,10055758886020,100
16750,16755,16806,10113518954,1600
16750,16755,16806,100042877643,1200
16750,16755,16806,21055313380,4800
16750,16755,16806,61046255151,1400
16750,16755,16806,10075239866204,9
