名次,电影名称,票房,总场次,人次,票价(元)
125,银河补习班,http://img.58921.com/sites/all/movie/files/protec/e74c37916fccf98e24cb3f72ad871e5e.png,43.42万,810.71万,36.1
126,天将雄师,http://img.58921.com/sites/all/movie/files/protec/e74c37916fccf98e24cb3f72ad871e5e.png,11.82万,589.26万,49.7
127,邪不压正,http://img.58921.com/sites/all/movie/files/protec/dce0522c241be23d479d7c0b1326b040.png,28.64万,795.23万,36.7
128,我的少女时代,http://img.58921.com/sites/all/movie/files/protec/b262975bdcef8bb678961f5bbed953f6.png,23.72万,768.66万,37.6
129,影,http://img.58921.com/sites/all/movie/files/protec/216d2bddb50c0a4a405f4e9ad160b6e0.png,31.31万,776.5万,37
130,狮子王,http://img.58921.com/sites/all/movie/files/protec/075c61d505f850ed0fd394b48b15c7cb.png,40.1万,731.45万,38.8
131,攀登者,http://img.58921.com/sites/all/movie/files/protec/6be0a7303154cf0768fdd7f987f98e69.png,28.17万,705.06万,40
132,杀破狼2,http://img.58921.com/sites/all/movie/files/protec/6be0a7303154cf0768fdd7f987f98e69.png,19.45万,634.97万,44.4
133,西游记之孙悟空三打白骨精,http://img.58921.com/sites/all/movie/files/protec/8220622959ebf2b83fdadb8b19f9ce6d.png,33.35万,624.61万,44.9
134,战狼,http://img.58921.com/sites/all/movie/files/protec/8220622959ebf2b83fdadb8b19f9ce6d.png,17.97万,643.47万,43.6
135,李茶的姑妈,http://img.58921.com/sites/all/movie/files/protec/29c75cdbaf1babe90e811936c616d680.png,28.36万,781.69万,35.8
136,追龙,http://img.58921.com/sites/all/movie/files/protec/29c75cdbaf1babe90e811936c616d680.png,28.32万,847.12万,32.9
137,西游记女儿国,http://img.58921.com/sites/all/movie/files/protec/7afbb2f64404f7ac1eb3e2c3b8d3270c.png,15.39万,679.46万,41
138,荒野猎人,http://img.58921.com/sites/all/movie/files/protec/7afbb2f64404f7ac1eb3e2c3b8d3270c.png,21.7万,704.17万,39.5
139,滚蛋吧！肿瘤君,http://img.58921.com/sites/all/movie/files/protec/7afbb2f64404f7ac1eb3e2c3b8d3270c.png,20.55万,684.57万,40.6
140,你的名字。,http://img.58921.com/sites/all/movie/files/protec/7afbb2f64404f7ac1eb3e2c3b8d3270c.png,34.69万,847.49万,32.7
141,反贪风暴3,http://img.58921.com/sites/all/movie/files/protec/1c95fad68434bf50fc756f2c31920630.png,29.55万,739.08万,37.2
142,英伦对决,http://img.58921.com/sites/all/movie/files/protec/1c95fad68434bf50fc756f2c31920630.png,21.71万,721.62万,38.1
143,王牌特工：特工学院,http://img.58921.com/sites/all/movie/files/protec/e2532def6a7d040ea0c67a52edaf24c1.png,15.65万,664.04万,41.3
144,动物世界,http://img.58921.com/sites/all/movie/files/protec/d058195b9267678e15f661e5a9536f33.png,27.49万,714.83万,38.1
145,新喜剧之王,http://img.58921.com/sites/all/movie/files/protec/67ba2cd974c04a52896ade8958a37e30.png,17.34万,597.31万,45.2
146,谍影重重5,http://img.58921.com/sites/all/movie/files/protec/6ee3196f925e0fb0b5dbe331c33eb94f.png,25.06万,613.48万,42.9
147,神奇动物在哪里,http://img.58921.com/sites/all/movie/files/protec/bbb555bb79a8e2b7bfce5fc539af75ba.png,27.18万,633.27万,40.9
148,独立日：卷土重来,http://img.58921.com/sites/all/movie/files/protec/bbb555bb79a8e2b7bfce5fc539af75ba.png,20.14万,555.25万,46.6
149,星际特工：千星之城,http://img.58921.com/sites/all/movie/files/protec/e5ce23279ed6b5c60d77df8b9c2decec.png,22.64万,711.18万,36
150,大侦探皮卡丘,http://img.58921.com/sites/all/movie/files/protec/e5ce23279ed6b5c60d77df8b9c2decec.png,47.04万,686.6万,37.2
151,哆啦A梦：伴我同行,http://img.58921.com/sites/all/movie/files/protec/7bb38a730e4b4d1dcfdd5836d847755d.png,20.95万,587.01万,43.5
152,美女与野兽,http://img.58921.com/sites/all/movie/files/protec/7bb38a730e4b4d1dcfdd5836d847755d.png,33.44万,670.44万,38
153,金刚狼3：殊死一战,http://img.58921.com/sites/all/movie/files/protec/fca3c6bd14fa7477b1d99f34c21e16ca.png,36.86万,727.85万,34.9
154,全球风暴,http://img.58921.com/sites/all/movie/files/protec/fca3c6bd14fa7477b1d99f34c21e16ca.png,23.98万,724.22万,35
155,勇敢者游戏：决战丛林,http://img.58921.com/sites/all/movie/files/protec/5c35bba272259426944be6d805f897ce.png,21.2万,702.89万,35.9
156,冰川时代：星际碰撞,http://img.58921.com/sites/all/movie/files/protec/6e53313a73bb9a6b817dd1bc9d0ebc43.png,26.61万,598.93万,41.8
157,星际迷航3：超越星辰,http://img.58921.com/sites/all/movie/files/protec/ca764a6357a8779f8022bd1f97e6d151.png,22.57万,544.3万,45.7
158,来电狂响,http://img.58921.com/sites/all/movie/files/protec/ca764a6357a8779f8022bd1f97e6d151.png,32.08万,696.12万,35.7
159,王牌特工2：黄金圈,http://img.58921.com/sites/all/movie/files/protec/2836a82ecd5761803de641fd11f23ea2.png,24.03万,686.84万,36.1
160,杀破狼·贪狼,http://img.58921.com/sites/all/movie/files/protec/ab917da5904b603f681e0efd3a83d90e.png,25.02万,754.79万,32.8
161,捉妖记2,http://img.58921.com/sites/all/movie/files/protec/ab917da5904b603f681e0efd3a83d90e.png,19.36万,647.87万,38.1
162,铁道飞虎,http://img.58921.com/sites/all/movie/files/protec/c16a19ba515076b85e59c1a1936f6560.png,29.69万,635.71万,38.8
163,熊出没之变形记,http://img.58921.com/sites/all/movie/files/protec/39bb2a67b42060c6f92871a9bd520cbd.png,15.97万,653.53万,37.6
164,猩球崛起2：黎明之战,http://img.58921.com/sites/all/movie/files/protec/39bb2a67b42060c6f92871a9bd520cbd.png,10.21万,488.62万,50.1
165,狄仁杰之四大天王,http://img.58921.com/sites/all/movie/files/protec/39bb2a67b42060c6f92871a9bd520cbd.png,21.52万,607.61万,40.3
166,死侍2：我爱我家,http://img.58921.com/sites/all/movie/files/protec/2dab20e4c7893e2c5bff3ce353419e06.png,32.24万,713.3万,34.1
167,爱丽丝梦游仙境2：镜中奇遇记,http://img.58921.com/sites/all/movie/files/protec/fd538ceaa9cd54f437027798bad16432.png,25.29万,552万,43.8
168,白蛇：缘起,http://img.58921.com/sites/all/movie/files/protec/0e3066e1348939152440cdc00b559a0e.png,38.09万,688.16万,35
169,小时代4：灵魂尽头,http://img.58921.com/sites/all/movie/files/protec/8c640779a1044b28d2aee38a9e63a2f8.png,14.65万,617.9万,38.7
170,银河护卫队,http://img.58921.com/sites/all/movie/files/protec/22b60635cb1a8bcecdd8120c176760eb.png,12.31万,472.18万,50.3
171,左耳,http://img.58921.com/sites/all/movie/files/protec/ae1db83a59f65e8dd0df9513eaf57bbd.png,17.03万,608.99万,38.6
172,缝纫机乐队,http://img.58921.com/sites/all/movie/files/protec/ae1db83a59f65e8dd0df9513eaf57bbd.png,25.76万,698.46万,33.6
173,绝世高手,http://img.58921.com/sites/all/movie/files/protec/ae1db83a59f65e8dd0df9513eaf57bbd.png,17.88万,734.12万,31.9
174,爱宠大机密,http://img.58921.com/sites/all/movie/files/protec/c6ca078458457a9ccb0af54af9422235.png,20.38万,547.44万,42.8
175,敦刻尔克大撤退,http://img.58921.com/sites/all/movie/files/protec/67d31d295c4575686edf86343bb232e6.png,23.69万,702.46万,33.2
176,灰姑娘,http://img.58921.com/sites/all/movie/files/protec/67d31d295c4575686edf86343bb232e6.png,16.64万,588.37万,39.6
177,妖猫传,http://img.58921.com/sites/all/movie/files/protec/7381aa01ba68b5eb6f87f07991fc91be.png,17.97万,634.68万,36.4
178,绿皮书,http://img.58921.com/sites/all/movie/files/protec/a107ccf0800399ef3867b879b2a562ad.png,35.46万,666.24万,34.5
179,幕后玩家,http://img.58921.com/sites/all/movie/files/protec/16547dde8e1bf5baf55f07a8d843d36c.png,22.12万,621万,35.8
180,大人物,http://img.58921.com/sites/all/movie/files/protec/54cb2dc4f82f3174d5e58ddfd2f44746.png,30.2万,595.8万,37.2
181,拆弹专家,http://img.58921.com/sites/all/movie/files/protec/fef3af81ce446c94156956952ea0b71a.png,24.65万,654.53万,33.5
182,伦敦陷落,http://img.58921.com/sites/all/movie/files/protec/ab742452dbbb80c93f805dd8c156e912.png,23.33万,498.58万,43.5
183,哆啦A梦：大雄的南极冰寒大冒险,http://img.58921.com/sites/all/movie/files/protec/4aedf920e593a5f055ea20f0494d04bf.png,20.39万,722.16万,30
184,万万没想到：西游篇,http://img.58921.com/sites/all/movie/files/protec/878379cc7100f5ef1c65017d5fae8e6b.png,17.68万,572.57万,37.6
185,一条狗的使命,http://img.58921.com/sites/all/movie/files/protec/143f3657295087b63feab7758dbad2a9.png,37.72万,664.05万,32.1
186,一步之遥,http://img.58921.com/sites/all/movie/files/protec/8063b1f287243d03b43a0318e1eb093d.png,9.82万,411.78万,51.6
187,驯龙高手3,http://img.58921.com/sites/all/movie/files/protec/8063b1f287243d03b43a0318e1eb093d.png,27.07万,562.72万,37.6
188,异星觉醒,http://img.58921.com/sites/all/movie/files/protec/e7eea6006ad87ab0936b540971078f48.png,17.46万,673.52万,31.1
189,爱情公寓,http://img.58921.com/sites/all/movie/files/protec/5e5265daf03281ce84b3cdb4b68ea71f.png,13.09万,565.16万,36.8
190,雷霆沙赞！,http://img.58921.com/sites/all/movie/files/protec/5e5265daf03281ce84b3cdb4b68ea71f.png,23.27万,534.94万,38.9
191,使徒行者2：谍影行动,http://img.58921.com/sites/all/movie/files/protec/5e5265daf03281ce84b3cdb4b68ea71f.png,27.85万,542.31万,38.3
192,美国队长2,http://img.58921.com/sites/all/movie/files/protec/748346ada01d4ee186b71bee30bf2f4e.png,8.29万,378.96万,54.6
193,大护法,http://img.58921.com/sites/all/movie/files/protec/705510256a99af7542d903d36ee631b5.png,15.72万,578.73万,35.6
194,泰山归来：险战丛林,http://img.58921.com/sites/all/movie/files/protec/705510256a99af7542d903d36ee631b5.png,17.02万,470.38万,43.7
195,爵迹,http://img.58921.com/sites/all/movie/files/protec/f4f6c54a45da0a7f268efaa9cdb2c884.png,16.96万,483.41万,42.4
